Date,Open,High,Low,Close,Adj Close,Volume
2023-06-07,1006.849976,1010.000000,982.000000,985.549988,985.549988,1247714
2023-06-08,987.000000,993.400024,971.000000,976.000000,976.000000,636876
2023-06-09,972.000000,977.000000,961.250000,963.650024,963.650024,416990
2023-06-12,968.950012,970.000000,955.000000,961.099976,961.099976,431395
2023-06-13,961.000000,963.900024,946.049988,955.299988,955.299988,476248
2023-06-14,955.000000,961.000000,948.099976,957.650024,957.650024,381844
2023-06-15,952.500000,991.000000,951.000000,962.599976,962.599976,969057
2023-06-16,967.950012,987.000000,963.400024,975.049988,975.049988,1954444
2023-06-19,982.849976,984.000000,957.849976,960.349976,960.349976,430174
2023-06-20,961.000000,967.000000,952.000000,961.700012,961.700012,320086
2023-06-21,963.950012,982.000000,954.200012,977.000000,977.000000,4202611
2023-06-22,979.700012,982.799988,967.450012,974.849976,974.849976,4562722
2023-06-23,973.000000,973.000000,938.000000,959.849976,959.849976,5559363
2023-06-26,940.000000,973.900024,925.000000,968.450012,968.450012,6002771
2023-06-27,970.950012,977.849976,956.099976,959.549988,959.549988,415940
2023-06-28,959.849976,963.450012,897.700012,956.650024,956.650024,55121312
2023-06-30,961.650024,966.599976,938.250000,945.900024,945.900024,1326330
2023-07-03,955.849976,956.950012,940.000000,942.849976,942.849976,634378
2023-07-04,942.900024,952.799988,938.450012,946.000000,946.000000,572039
2023-07-05,946.000000,956.200012,941.000000,948.200012,948.200012,567900
2023-07-06,950.950012,972.900024,948.400024,962.200012,962.200012,799351
2023-07-07,962.799988,964.900024,946.000000,951.000000,951.000000,585951
2023-07-10,959.849976,973.000000,935.250000,959.450012,959.450012,828417
2023-07-11,952.000000,973.000000,946.000000,965.150024,965.150024,603865
2023-07-12,963.049988,969.450012,950.000000,954.549988,954.549988,550399
2023-07-13,960.000000,970.000000,945.000000,947.049988,947.049988,542919
2023-07-14,952.950012,968.299988,945.950012,965.200012,965.200012,618578
2023-07-17,970.150024,979.000000,961.000000,965.299988,965.299988,754573
2023-07-18,968.000000,1020.000000,957.099976,973.750000,973.750000,2254479
2023-07-19,982.000000,988.000000,971.099976,979.650024,979.650024,735702
2023-07-20,981.950012,991.700012,977.150024,985.000000,985.000000,821313
2023-07-21,985.000000,1000.000000,979.700012,995.549988,995.549988,729192
2023-07-24,998.950012,1004.950012,986.150024,989.150024,989.150024,479401
2023-07-25,990.000000,1088.050049,990.000000,1088.050049,1088.050049,3645365
2023-07-26,1114.000000,1184.849976,1100.000000,1140.400024,1140.400024,6346278
2023-07-27,1148.000000,1172.500000,1111.199951,1119.199951,1119.199951,2025025
2023-07-28,1129.000000,1134.800049,1085.000000,1092.599976,1092.599976,1524478
2023-07-31,1109.000000,1137.900024,1080.000000,1093.300049,1093.300049,3152824
2023-08-01,1115.000000,1131.849976,1083.800049,1087.050049,1087.050049,2143083
2023-08-02,1087.000000,1094.000000,1045.050049,1052.449951,1052.449951,1245613
2023-08-03,1052.449951,1067.000000,1028.050049,1036.000000,1036.000000,2555083
2023-08-04,1041.699951,1062.250000,1008.150024,1012.549988,1012.549988,924378
2023-08-07,1015.900024,1018.500000,885.099976,965.900024,965.900024,9340727
2023-08-08,977.700012,1014.799988,973.400024,984.299988,984.299988,3855260
2023-08-09,994.900024,1003.000000,960.099976,971.299988,971.299988,1692921
2023-08-10,976.650024,988.000000,970.450012,973.900024,973.900024,1202964
2023-08-11,979.049988,988.000000,967.049988,971.349976,971.349976,816244
2023-08-14,950.000000,958.799988,940.099976,951.250000,951.250000,1039901
2023-08-16,956.599976,962.750000,942.799988,948.500000,948.500000,812634
2023-08-17,955.000000,959.650024,930.000000,933.500000,933.500000,1203944
2023-08-18,940.549988,1024.949951,938.150024,994.750000,994.750000,5524623
2023-08-21,1006.400024,1035.000000,1003.400024,1020.049988,1020.049988,2525140
2023-08-22,1029.900024,1044.849976,1009.150024,1015.099976,1015.099976,1863617
2023-08-23,1020.799988,1024.800049,953.000000,971.500000,971.500000,1549871
2023-08-24,985.000000,1001.950012,977.099976,983.650024,983.650024,949991
2023-08-25,985.400024,995.000000,973.000000,979.450012,979.450012,589826
2023-08-28,997.099976,998.500000,965.599976,980.099976,980.099976,650632
2023-08-29,984.049988,985.000000,963.049988,974.500000,974.500000,1469569
2023-08-30,974.500000,977.849976,966.000000,970.500000,970.500000,705104
2023-08-31,932.049988,959.849976,920.700012,928.650024,928.650024,4440751
